dateObserved,intensity,laneId,location,id,type,vehicleType,reversedLane,name
2020-05-10,211,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005100000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-11,3245,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005110000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-12,1699,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005120000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-13,555,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005130000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-14,788,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005140000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-15,1178,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005150000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-16,1318,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005160000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-17,1981,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005170000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-18,1494,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005180000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-19,1530,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005190000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-20,1504,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005200000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-21,1688,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005210000,TrafficFlowObserved,bicycle,False,Berracasa
